title,icon,screenshots,video,category,score,histogram,reviews,description,description_html,recent_changes,editors_choice,price,free,iap,developer_id,updated,size,installs,current_version,required_android_version,content_rating,iap_range,interactive_elements,developer,developer_email,developer_url,developer_address,app_id,url
India Post Tracker,https://lh3.googleusercontent.com/81-qp8qzvDTaqWtNegvHIjuIzonkLosKeOecNqykfqlp-HHKyOiUXTmySZ2rwUsy2_Ak,5,,['BUSINESS'],5,"{5: 2, 4: 0, 3: 0, 2: 0, 1: 0}",2,"Apps for Tracking Spped Post, Registered Post etc., Locate Post Office, Find Pincode, Calcute Postage.","b'Apps for Tracking Spped Post, Registered Post etc., Locate Post Office, Find Pincode, Calcute Postage.'",,False,0,True,False,App+Udyog,"September 5, 2018",5.5M,100,1,4.1 and up,['Rated for 3+'],,,App Udyog,tinkuyein7@gmail.com,https://docs.google.com/document/d/e/2PACX-1vQxrPpwQFeMN-wuY46JWYqKF3_xl-VsEVkMAFqsxRViiq6vrQmQw9ZwO4q27uYlqlbQh1u9Q2OX8k0-/pub,"BENGENAGARAH LACHON
MACHKHOWA
DHEMAJI
ASSAM
PIN:787058",io.makeroid.tinkuyein7.India_Post_Tracker,https://play.google.com/store/apps/details?id=io.makeroid.tinkuyein7.India_Post_Tracker
SwissGold Market,https://lh3.googleusercontent.com/iUnCcDdLHjj9SNl1PYKF8dylgBEFH9QW1IlxoldZKWO2Km7YWQ3srvJqBazpidhwVw,11,,['BUSINESS'],4.9,"{5: 13, 4: 1, 3: 0, 2: 0, 1: 0}",14,"The SwissGold Market Internet – shop is intended for purchase and sale of an investment gold in bars.
Gold bars are bought and sold in the Internet - shop in any quantity and any values from 1 to 100 grams. Gold bars delivery is carried out by the insured mail or gold bars can be left for safekeeping in the certified depository of precious metals. Delivery cost is defined by the postal service. Approximately the delivery costs 55 Euros.
The gold storage cost is 0.1 % per month of the value of the gold stockpiled in depository on the first day of every month.",b'The SwissGold Market Internet \xe2\x80\x93 shop is intended for purchase and sale of an investment gold in bars.<br/>Gold bars are bought and sold in the Internet - shop in any quantity and any values from 1 to 100 grams. Gold bars delivery is carried out by the insured mail or gold bars can be left for safekeeping in the certified depository of precious metals. Delivery cost is defined by the postal service. Approximately the delivery costs 55 Euros. <br/>The gold storage cost is 0.1 % per month of the value of the gold stockpiled in depository on the first day of every month.',,False,0,True,False,SwissGold+Market,"September 26, 2018",10M,100,1.0.18,4.1 and up,['Rated for 3+'],,,SwissGold Market,admin@sg.market,https://sg.market,,com.sgmarket.app,https://play.google.com/store/apps/details?id=com.sgmarket.app
InstaPromo,https://lh3.googleusercontent.com/hZzsINL78uxa2D8pW-PQKstNG5LFkLjitsH_oSzZmlqjIJyWlfrJLtUT-hbzBd7Bwj0,3,,['BUSINESS'],5,"{5: 11, 4: 0, 3: 0, 2: 0, 1: 0}",11,"Now promote your business with Insta-Promo, which sends an auto network or whatsapp messages to your callers. You can select the contact numbers, from the contacts, to which you do not want to send any promotional messages. Also Insta-Promo will not send any auto messages to the phone numbers, to which it has already sent a message before. You can configure the Insta-Promo, to ask before sending the message. You can create your message templates and select any one from it as your default auto message. You can contact us from the app itself. You just need to get registered to it once and the rest all things Insta-Promo will do it for you and will start your business promotion.","b'Now promote your business with Insta-Promo, which sends an auto network or whatsapp messages to your callers. You can select the contact numbers, from the contacts, to which you do not want to send any promotional messages. Also Insta-Promo will not send any auto messages to the phone numbers, to which it has already sent a message before. You can configure the Insta-Promo, to ask before sending the message. You can create your message templates and select any one from it as your default auto message. You can contact us from the app itself. You just need to get registered to it once and the rest all things Insta-Promo will do it for you and will start your business promotion.'",,False,0,True,False,Versatile+Marketing+Services,"September 25, 2018",1.4M,100,2,4.1 and up,['Rated for 3+'],,['Users Interact'],Versatile Marketing Services,versatilemarketing0505@gmail.com,https://www.versatilemarketers.com,,com.versatilemarketers.apps.instapromo,https://play.google.com/store/apps/details?id=com.versatilemarketers.apps.instapromo
MITRA - MHADA,https://lh3.googleusercontent.com/6Lss24bCB4kIonUgshwA4GzuBlr3kpIUbtzd8YF5P4RayUQRhC8-v_guaegRgj2Cjkdx,8,,['BUSINESS'],4.8,"{5: 16, 4: 0, 3: 2, 2: 0, 1: 0}",18,"Maharashtra Housing and Area Development Authority (MHADA), the most popular government organization, shares a glorious History in the Housing sector. The basic objective of the Housing Authority was to uplift the standard of living of the last section of the society. In the last seven decades, MHADA has provided affordable housing to nearly 7.50 lakh families across the state, of which 2.5 lakh alone are in Mumbai. In the last seventy years, MHADA has seen many aspects of housing activities and also ups and down in housing sector but MHADA was always adaptive to these changes.
In pre-independence era, Industrialization gave rise to urbanization, and resultantly led to migration. Many people in the rural areas shifted to urban areas in search of employment opportunities , better living standard and better education in the city. Also after World war II, the partition of India and formation of Pakistan led to the largest human mass migration in history. Many Hindu refugees settled in Mumbai, where the Indian government gave them asylum. Resultantly acute shortage of housing was felt in the then Mumbai province of India, which extended its borders till Karachi. To tackle the problem of housing, the then Housing Minister Guljarilal Nanda passed the Housing bill and thus came into existence the Maharashtra Housing Board, which was constituted under the Bombay Housing Board Act, in 1948.
Maharashtra Housing Board was formerly called ""Bombay Housing Board"", soon after institution became popular among masses in the state as it was the only respite for the people to avail budget home in size and price. The Housing Board had its jurisdiction over the entire state of Maharashtra except Vidarbha Region. Various affordable housing projects for different sections of the society were implemented by the housing Board. Some of the landmark projects included Ambedkar Nagar in Worli was the first housing project that was constructed in 1948 while the housing project of Tagore Nagar, Vikhroli that was built in 1962-63, became one of the biggest housing project in Asia.","b'Maharashtra Housing and Area Development Authority (MHADA), the most popular government organization, shares a glorious History in the Housing sector. The basic objective of the Housing Authority was to uplift the standard of living of the last section of the society. In the last seven decades, MHADA has provided affordable housing to nearly 7.50 lakh families across the state, of which 2.5 lakh alone are in Mumbai. In the last seventy years, MHADA has seen many aspects of housing activities and also ups and down in housing sector but MHADA was always adaptive to these changes.<br/><br/>In pre-independence era, Industrialization gave rise to urbanization, and resultantly led to migration. Many people in the rural areas shifted to urban areas in search of employment opportunities , better living standard and better education in the city. Also after World war II, the partition of India and formation of Pakistan led to the largest human mass migration in history. Many Hindu refugees settled in Mumbai, where the Indian government gave them asylum. Resultantly acute shortage of housing was felt in the then Mumbai province of India, which extended its borders till Karachi. To tackle the problem of housing, the then Housing Minister Guljarilal Nanda passed the Housing bill and thus came into existence the Maharashtra Housing Board, which was constituted under the Bombay Housing Board Act, in 1948.<br/><br/>Maharashtra Housing Board was formerly called ""Bombay Housing Board"", soon after institution became popular among masses in the state as it was the only respite for the people to avail budget home in size and price. The Housing Board had its jurisdiction over the entire state of Maharashtra except Vidarbha Region. Various affordable housing projects for different sections of the society were implemented by the housing Board. Some of the landmark projects included Ambedkar Nagar in Worli was the first housing project that was constructed in 1948 while the housing project of Tagore Nagar, Vikhroli that was built in 1962-63, became one of the biggest housing project in Asia.'",App Release,False,0,True,False,MHADA,"September 5, 2018",6.4M,1000,1.0.0,4.1 and up,['Rated for 3+'],,,MHADA,compcellmhada@gmail.com,http://www.mhada.gov.in,,com.mhada.mitra,https://play.google.com/store/apps/details?id=com.mhada.mitra
Visshwa Solutions,https://lh3.googleusercontent.com/xVyt7rwKSAfVFuLVtyucWNwRZRYmbwnsL8ePSTaPE8kiwVz5o-H7dmX4y16WX3JATQ,3,,['BUSINESS'],5,{},0,"Founded in 2015 by Ms. Dhanshri Pawar, Visshwa is a premier management consulting company that is dedicated to providing optimum and tailor made services in Head Hunting and Corporate Training for senior and middle level executives.
Our highly skilled team of consultants focus on achieving the right solutions to our clients’ needs. Working in close liaison with the company managements, we are able to discern our customers’ needs and come up with solutions that are apt and appropriate, thus enabling them to achieve their goals and sustainable growth.
We are passionate about delivering the right recipes to our customers and be part of their success stories, recipes that are uniquely tailored, pragmatic, holistic, and enduring.","b'Founded in 2015 by Ms. Dhanshri Pawar, Visshwa is a premier management consulting company that is dedicated to providing optimum and tailor made services in Head Hunting and Corporate Training for senior and middle level executives. <br/><br/>Our highly skilled team of consultants focus on achieving the right solutions to our clients\xe2\x80\x99 needs. Working in close liaison with the company managements, we are able to discern our customers\xe2\x80\x99 needs and come up with solutions that are apt and appropriate, thus enabling them to achieve their goals and sustainable growth. <br/><br/>We are passionate about delivering the right recipes to our customers and be part of their success stories, recipes that are uniquely tailored, pragmatic, holistic, and enduring.'",** Bug Fixed,False,0,True,False,9.16306450706094E+018,"September 10, 2018",11M,100,3.5,4.1 and up,['Rated for 3+'],,,Pixlant Multimedia | Pixlant.com,dhanshri@visshwasolutions.com,http://www.visshwasolutions.com/,Pune,com.visshwa.sol.pl,https://play.google.com/store/apps/details?id=com.visshwa.sol.pl
Great Wallet,https://lh3.googleusercontent.com/hhJIt3tHOZdJJ9is9O_ymcNzK_CjnCesVWGgoJfHm32ce_ayWykJruOFY3uMMoVVO_g,4,,['BUSINESS'],4.9,"{5: 270, 4: 8, 3: 4, 2: 1, 1: 4}",287,"Join with Great wallet and stay great day.
Thank you.",b'Join with Great wallet and stay great day.<br/><br/>Thank you.',,False,0,True,False,Mobile+help+hand,"September 20, 2018",4.8M,5000,1.3,4.1 and up,['Rated for 3+'],,,Mobile help hand,Futurecristal8@gmail.com,http://phpstack-145516-492981.cloudwaysapps.com/privacy/,,com.greatwallet.wallet,https://play.google.com/store/apps/details?id=com.greatwallet.wallet
MPAYIN,https://lh3.googleusercontent.com/prng0IHZwRxY88gIzdIgY4vZPNICuToBfuskL9LAhcvlaaGFaFaak1UGL8fJDE0cMg,3,,['BUSINESS'],4.9,"{5: 12, 4: 1, 3: 0, 2: 0, 1: 0}",13,"MPAYIN  has been proposed and designed to provide comprehensive end-to-end solutions to the common man for money transfer,Ticket Booking, recharges, TNEB Bill,etc.","b'MPAYIN  has been proposed and designed to provide comprehensive end-to-end solutions to the common man for money transfer,Ticket Booking, recharges, TNEB Bill,etc.'","Recharge & Bill Payments,Money Transfer & Bus Ticket Booking",False,0,True,False,ALL+SERVICES+@+SINGLE+PLATFORM,"September 28, 2018",2.8M,100,1.1.3,4.1 and up,['Rated for 3+'],,,ALL SERVICES @ SINGLE PLATFORM,shafeek78@gmail.com,http://mpayin.com,,com.mpayin,https://play.google.com/store/apps/details?id=com.mpayin
Personal loans - VHNT app,https://lh3.googleusercontent.com/EaJ9cI_Yz9CG3o3jla7IJ6QZU0Fm-gx9So9yVEQ4_3je-sqRkdbjOkW6fTxlpT0f-e4,4,,['BUSINESS'],5,"{5: 2, 4: 0, 3: 0, 2: 0, 1: 0}",2,"Apply for a Cash Personal Loan Your application is easy, safe and only takes minutes.  Fast Approval Get a quick decision after submitting your form.  3 Easy Steps 1. Complete the Short Loan Request Form 2. Our Network of Lenders Reviews Your Request – You Can Get a Loan Offer 3. If Approved, Review and Accept Your Loan – All Conveniently Online Remember, our service is free and you’re not obligated to accept any loan offer.  * Cash Advance * Personal Loans * Installment Loans  Best Loan app!","b'Apply for a Cash Personal Loan Your application is easy, safe and only takes minutes.  Fast Approval Get a quick decision after submitting your form.  3 Easy Steps 1. Complete the Short Loan Request Form 2. Our Network of Lenders Reviews Your Request \xe2\x80\x93 You Can Get a Loan Offer 3. If Approved, Review and Accept Your Loan \xe2\x80\x93 All Conveniently Online Remember, our service is free and you\xe2\x80\x99re not obligated to accept any loan offer.  * Cash Advance * Personal Loans * Installment Loans  Best Loan app!'",,False,0,True,False,6.24872258427991E+018,"September 10, 2018",41M,500,4.25.0,4.4 and up,['Rated for 3+'],,['Users Interact'],geekApps,contact@geekapps.com,https://geekapps.com,,com.artygeekapps.app10152,https://play.google.com/store/apps/details?id=com.artygeekapps.app10152
SafeShop - Safe and Secure Online Marketing Pvt Lt,https://lh3.googleusercontent.com/W_dWlbEIZ3XQwTBqDuwsHl9YE1IhmEaxAfZ2G1UhANqZfQeSoAgWTaJ7PrT2m45-erw,5,,['BUSINESS'],4.7,"{5: 25, 4: 3, 3: 1, 2: 1, 1: 0}",30,"We are people's company: By the people, for the people, of the people, with a vision of turning their dreams into reality by securing their lives and family with our progressive programs and business opportunities blended with international quality products. Become a direct seller today and align yourself with a company with integrity.","b""We are people's company: By the people, for the people, of the people, with a vision of turning their dreams into reality by securing their lives and family with our progressive programs and business opportunities blended with international quality products. Become a direct seller today and align yourself with a company with integrity.""",Safe Shop,False,0,True,False,EWL,"September 18, 2018",16M,500,70,4.4 and up,['Rated for 3+'],,,EWL,contact2earnwhilelearn@gmail.com,http://earnwhilelearn.com,,com.earnwhilelearn.safeshop,https://play.google.com/store/apps/details?id=com.earnwhilelearn.safeshop
MAA,https://lh3.googleusercontent.com/NGM0Me7MGRskUtcxXNji_x-Y3cONCi0T6ZRDkAWe5oUBqwKe8XaH_Yf1x21PWk0F0Vo,3,,['BUSINESS'],4.9,"{5: 32, 4: 1, 3: 0, 2: 1, 1: 0}",34,"This Application developed for ""MCCSL""  member . Using this app member can easily get their business details, income , payout, achievements and other business activities.
MCCSL Business is constantly expanding its product range and offering you wide range of quality products. It is an ISO 9001-2008 certified company. Axil is a venture of renowned Moral Group of Companies. Moral Group of Companies is a well-established group with sound turnover for accelerating growth. Moral Group established in 2007 having its command office at Lucknow and working in 29 States along with 2 union territories with multi-functional approach and Having work force of more than 10 lac members with many more New Members each day, 100+ Branch offices, 1500+ Franchisee, 2500+ Employees workforce because Axil believes in offering world class service levels to all its customers. Our services are reliable on achievement, accuracy and honesty & our aim is to provide better services and customer satisfaction. Axil believes in empowering its members with the opportunity to lead their Lives with their Dreams. Axil has continued to enrich the lives of everyone who is a part of the company and those who believe in it.","b'This Application developed for ""MCCSL""  member . Using this app member can easily get their business details, income , payout, achievements and other business activities.<br/>MCCSL Business is constantly expanding its product range and offering you wide range of quality products. It is an ISO 9001-2008 certified company. Axil is a venture of renowned Moral Group of Companies. Moral Group of Companies is a well-established group with sound turnover for accelerating growth. Moral Group established in 2007 having its command office at Lucknow and working in 29 States along with 2 union territories with multi-functional approach and Having work force of more than 10 lac members with many more New Members each day, 100+ Branch offices, 1500+ Franchisee, 2500+ Employees workforce because Axil believes in offering world class service levels to all its customers. Our services are reliable on achievement, accuracy and honesty &amp; our aim is to provide better services and customer satisfaction. Axil believes in empowering its members with the opportunity to lead their Lives with their Dreams. Axil has continued to enrich the lives of everyone who is a part of the company and those who believe in it.'",This app belongs to MCCSL coorporative society developed by A.S.,False,0,True,False,Softosys+Solutions+Pvt+Ltd,"September 26, 2018",4.4M,1000,28,4.2 and up,['Rated for 3+'],,,Softosys Solutions Pvt Ltd,softosyssolution@gmail.com,http://www.softosyssolutions.in/,,com.shubhidata.administrator.mccsl1,https://play.google.com/store/apps/details?id=com.shubhidata.administrator.mccsl1
