""
title,icon,screenshots,video,category,score,histogram,reviews,description,description_html,recent_changes,editors_choice,price,free,iap,developer_id,updated,size,installs,current_version,required_android_version,content_rating,iap_range,interactive_elements,developer,developer_email,developer_url,developer_address,app_id,url
Yashi Films _ Bhojpuri New Video,https://lh3.googleusercontent.com/VqPSLI69QIyxFXQn8choB1p9FdK62DL1ILQwfEsvFcih67VTI1kvqpyzq1uiUwEeEg,4,,['ENTERTAINMENT'],4.4,"{5: 25, 4: 2, 3: 1, 2: 2, 1: 2}",32,"WELCOME To Yashi Films
ENJOY THE VIDEO",b'WELCOME To Yashi Films<br/>ENJOY THE VIDEO',,False,0,True,False,YASHI+MUSIC,"September 7, 2018",4.9M,1000,1.0,4.2 and up,['Rated for 3+'],,,YASHI MUSIC,yashifilms.com@gmail.com,http://yashifilms.com,OPPOSITE MG MARRIOT HOTEL ABAS LANE NO.3 YASHI FILMS,com.yashimusic,https://play.google.com/store/apps/details?id=com.yashimusic
Kids Movies : Cartoon Tv,https://lh3.googleusercontent.com/2d86s_cXk_a1uxd0ji4Uaqv6FDof3rSwqW7TlEHHxlNimaPIvaB1R5CQ56omyFpxRRk,8,,['ENTERTAINMENT'],4.4,"{5: 13, 4: 2, 3: 0, 2: 0, 1: 2}",17,"Some of the serials that the app contains :
boomerang cartoons cartoon app cartoon hangover cartoon movies app cartoon player for kids cartoon tv cartton catoon english cartoons family cartoons free cartoon free cartoons free kids tv fun cartoon hindi cartoon jasmintv kids cartoon player kids channel kids tv shows motu and patlu cartoon motu patlu cartoon motu patlu videos new cartoon toonstv viacom voot watch cartoon watch disney youtube cartoons كارتون
boomerang cartoons cartoon app cartoon network anything cartoon network app cartoon tv cartoon video for kids cartoon videos cartton cn app hindi cartoon kids cartoon player kids cartoon videos moonstone motu and patlu cartoon motu patlu cartoon motu patlu in hindi motu patlu videos new cartoon nick jr episodes oswald oswald game qqqq音乐 tokusatsu toonstv tv kids tv toddlers tvfplay twin toymart tv channel видео вопросы видео-вопросы
animated animated cartoon animated cartoons animated clips animated films animated movies animated short animated shorts animation short film best cartoons best home movies cartoon movies cartoon movies app cartoon movies for free childrens movies disney movies family movie family movies free animated free children movies apps kid movies app kid movies for free apps kids film movies for kids movies for kids apps social movies the croods watch free kid movies watch kids movies watch kids movies free
Please note that the content assembly of the application is available free of charge to the Internet and   the app does not download cartoon",b'Some of the serials that the app contains :<br/><br/><br/><br/>boomerang cartoons cartoon app cartoon hangover cartoon movies app cartoon player for kids cartoon tv cartton catoon english cartoons family cartoons free cartoon free cartoons free kids tv fun cartoon hindi cartoon jasmintv kids cartoon player kids channel kids tv shows motu and patlu cartoon motu patlu cartoon motu patlu videos new cartoon toonstv viacom voot watch cartoon watch disney youtube cartoons \xd9\x83\xd8\xa7\xd8\xb1\xd8\xaa\xd9\x88\xd9\x86 <br/><br/>boomerang cartoons cartoon app cartoon network anything cartoon network app cartoon tv cartoon video for kids cartoon videos cartton cn app hindi cartoon kids cartoon player kids cartoon videos moonstone motu and patlu cartoon motu patlu cartoon motu patlu in hindi motu patlu videos new cartoon nick jr episodes oswald oswald game qqqq\xe9\x9f\xb3\xe4\xb9\x90 tokusatsu toonstv tv kids tv toddlers tvfplay twin toymart tv channel \xd0\xb2\xd0\xb8\xd0\xb4\xd0\xb5\xd0\xbe \xd0\xb2\xd0\xbe\xd0\xbf\xd1\x80\xd0\xbe\xd1\x81\xd1\x8b \xd0\xb2\xd0\xb8\xd0\xb4\xd0\xb5\xd0\xbe-\xd0\xb2\xd0\xbe\xd0\xbf\xd1\x80\xd0\xbe\xd1\x81\xd1\x8b <br/><br/> <br/>animated animated cartoon animated cartoons animated clips animated films animated movies animated short animated shorts animation short film best cartoons best home movies cartoon movies cartoon movies app cartoon movies for free childrens movies disney movies family movie family movies free animated free children movies apps kid movies app kid movies for free apps kids film movies for kids movies for kids apps social movies the croods watch free kid movies watch kids movies watch kids movies free<br/><br/><br/>Please note that the content assembly of the application is available free of charge to the Internet and   the app does not download cartoon',,False,0,True,False,MUSTAPHA+OUHIDOUSSE,"September 13, 2018",4.2M,5000,1.1,4.2 and up,['Rated for 3+'],,,MUSTAPHA OUHIDOUSSE,mariamanassr@gmail.com,http://appmnassr.blogspot.com/2018/04/privacy-policy.html,rue 24 n78 kudia 1 haymuhammadi casablanca OROMorocco zip :20000,kidscartoontv.bestmovie.bestwatch,https://play.google.com/store/apps/details?id=kidscartoontv.bestmovie.bestwatch
Old Hindi Songs - The Golden Era,https://lh3.googleusercontent.com/otMPgUsfUbwPaJ__zKAyoeWWJ77yNEM6p80qSdAsIO28s_z0UMuwH7Ko26yqHrW3mdE,3,,['ENTERTAINMENT'],3.9,"{5: 9, 4: 0, 3: 4, 2: 2, 1: 1}",16,"Old Hindi Songs is a free Mobile App created for iPhone, Android, Windows Mobile. Easily find the best of bollywood song videos sung by the best of the Best Lata Mangeshkar, Mohd Rafi, Asha Bhosle, Mukesh and Kishore Kumar. Hindi songs of 50s, 60s and 70s continue to rule the hindi music. The melodious songs composed by Shankar Jaikishan, Madan Mohan, Ravi, Naushad, S D Burman, R D Burman continues to rule the bollywood music amongst hindi music lovers. Relive the screen presence of Shammi Kapoor, Shashi kapoor, Raj kapoor, Dharmendra, Rajinder Kumar, Joy Mukherjee, Biswajit, Manoj Kumar, Dilip Kumar, Dev Anand, Jitendra, Rajesh Khanna, Nutan, Nargis, Sunil Dutt, Vajyanti Mala, Mala Sinha, Asha Parekh, Meena Kumari, Raj Kumar, Sharmila Tagore, Waheeda Rehman, Babita, Tanuja, Sadhna, Helen, Amitabh, Nanda, Jaya Bhaduri. If you want to watch the best lyrics of bollywood by the greats like Hasrat Jaipuri, Majrooh, Shakeel Badayuni, Neeraj, Sahir Ludhianvi, Kaifi Azmi, Shailendra, Anand Bakshi. Purane Hindi gaane or Sadabahar hindi gaane, whatever you may call them. Hindi songs from bollywood have mesmerized generations over decades. Such is the magic of these legends like Rafi, Lata, Asha, Kishore that be these romantic, sad, fun songs, these have never failed to make people love them even today. thus live the bollywood songs of 50s, 60s and 70s evern after 5 decades. Old Bollywood Hits have entertained generations with absolutely marvelous poetry by Hasrat, Neeraj, Majrooh so beautifully composed by greats like Madan Mohan, Naushad, Shankar Jaikishan, R D Burman, Kalyanji Anandji, Laxmikant Pyarelal. These legends of Bollywood created the most enchanting songs that are popular even after decades. All the tracks are available for public viewing at youtube, thanks to the people who have uploaded these tracks. We are just providing easier discovery and ease of use.","b'Old Hindi Songs is a free Mobile App created for iPhone, Android, Windows Mobile. Easily find the best of bollywood song videos sung by the best of the Best Lata Mangeshkar, Mohd Rafi, Asha Bhosle, Mukesh and Kishore Kumar. Hindi songs of 50s, 60s and 70s continue to rule the hindi music. The melodious songs composed by Shankar Jaikishan, Madan Mohan, Ravi, Naushad, S D Burman, R D Burman continues to rule the bollywood music amongst hindi music lovers. Relive the screen presence of Shammi Kapoor, Shashi kapoor, Raj kapoor, Dharmendra, Rajinder Kumar, Joy Mukherjee, Biswajit, Manoj Kumar, Dilip Kumar, Dev Anand, Jitendra, Rajesh Khanna, Nutan, Nargis, Sunil Dutt, Vajyanti Mala, Mala Sinha, Asha Parekh, Meena Kumari, Raj Kumar, Sharmila Tagore, Waheeda Rehman, Babita, Tanuja, Sadhna, Helen, Amitabh, Nanda, Jaya Bhaduri. If you want to watch the best lyrics of bollywood by the greats like Hasrat Jaipuri, Majrooh, Shakeel Badayuni, Neeraj, Sahir Ludhianvi, Kaifi Azmi, Shailendra, Anand Bakshi. Purane Hindi gaane or Sadabahar hindi gaane, whatever you may call them. Hindi songs from bollywood have mesmerized generations over decades. Such is the magic of these legends like Rafi, Lata, Asha, Kishore that be these romantic, sad, fun songs, these have never failed to make people love them even today. thus live the bollywood songs of 50s, 60s and 70s evern after 5 decades. Old Bollywood Hits have entertained generations with absolutely marvelous poetry by Hasrat, Neeraj, Majrooh so beautifully composed by greats like Madan Mohan, Naushad, Shankar Jaikishan, R D Burman, Kalyanji Anandji, Laxmikant Pyarelal. These legends of Bollywood created the most enchanting songs that are popular even after decades. All the tracks are available for public viewing at youtube, thanks to the people who have uploaded these tracks. We are just providing easier discovery and ease of use.'",,False,0,True,False,Constant+Innovation,"September 7, 2018",21M,1000,1.0,4.4 and up,['Rated for 3+'],,['Users Interact'],Constant Innovation,cisg.india@gmail.com,https://www.pwastore.com/w/old-hindi-songs,,com.app.nwbuxchjkdlsdrzujyailqoxvktgfqosathngeprmcw,https://play.google.com/store/apps/details?id=com.app.nwbuxchjkdlsdrzujyailqoxvktgfqosathngeprmcw
My Live Tv,https://lh3.googleusercontent.com/3eACzJdVLhu9Ac2nDW2k_Wqd_-sj_fiMDMlz-u68OZmU6ZHUgbmaNgelDdyFH-dn1lk,5,,['ENTERTAINMENT'],3.8,"{5: 4, 4: 2, 3: 0, 2: 0, 1: 2}",8,"This contains some of the live channel which you can enjoy anywhere and anytime at your fingertip.
Top Live TV Channels Category :-
1. Music Channels
2. News Channel
3. Regional Channels
4. Space n Universe
5. Meditation
6. Kids Channel
7. Spiritual
8. Bollywood
9. Technology
This app features :-
***Different Categories of Live TV Channels***
***Favourite live TV Channels***
***Latest TV Channel***
***Daily Updated TV Channels***
Thank Your for Using this.",b'This contains some of the live channel which you can enjoy anywhere and anytime at your fingertip. <br/><br/>Top Live TV Channels Category :-<br/>1. Music Channels<br/>2. News Channel<br/>3. Regional Channels<br/>4. Space n Universe<br/>5. Meditation<br/>6. Kids Channel<br/>7. Spiritual<br/>8. Bollywood<br/>9. Technology<br/><br/>This app features :-<br/>***Different Categories of Live TV Channels***<br/>***Favourite live TV Channels***<br/>***Latest TV Channel***<br/>***Daily Updated TV Channels***<br/><br/>Thank Your for Using this.',New Channels Added !,False,0,True,False,Ultimate+app,"September 22, 2018",19M,5000,1.2,4.2 and up,['Rated for 3+'],,,Ultimate app,governmentservices4u@gmail.com,https://funandjoyapp.wordpress.com/,,com.app.entertainmenttv,https://play.google.com/store/apps/details?id=com.app.entertainmenttv
Fans musical.ly Follower Tips,https://lh3.googleusercontent.com/domh285UHk5EX-aV_DAEka5cWvHY38bmBsK7dWaOjqM_eNoXyxWOcpB1q2JmYr5jM1s,3,,['ENTERTAINMENT'],3.2,"{5: 6, 4: 0, 3: 2, 2: 0, 1: 5}",13,"Do you want to get musically instantly and become a famous for TikTok musically?
If you have friends or you are using musically this app is made spacially for you!
Fans musical.ly Follower Tips Give Your Advice what you need
Privacy Policy
https://sites.google.com/view/slickorps",b'Do you want to get musically instantly and become a famous for TikTok musically? <br/>If you have friends or you are using musically this app is made spacially for you!<br/>Fans musical.ly Follower Tips Give Your Advice what you need<br/><br/>Privacy Policy<br/>https://sites.google.com/view/slickorps',,False,0,True,False,Slickorps,"September 24, 2018",3.3M,1000,2.0,4.2 and up,['Rated for 3+'],,,Slickorps,chandra.trisno29@gmail.com,https://sites.google.com/view/slickorps,,com.slickorps.follow.tipsformusically,https://play.google.com/store/apps/details?id=com.slickorps.follow.tipsformusically
giftmoney,https://lh3.googleusercontent.com/O9nX7Bq4bZSl2C66NF-yzD9t3ffH318ZC3lR3akmv-D6DvZ-mlorZFpfnLSgHEtxUr4,3,,['ENTERTAINMENT'],4.1,"{5: 20, 4: 2, 3: 0, 2: 0, 1: 6}",28,"online gitmoney
online gitmoney
online gitmoney",b'online gitmoney<br/>online gitmoney<br/>online gitmoney',,False,0,True,False,Developer+Sign+In,"September 28, 2018",5.9M,5000,1.0,4.1 and up,['Rated for 3+'],,,Developer Sign In,developersignin@gmail.com,http://firstname333888.blogspot.com/p/privacy-policy.html,,com.firstname333888.hanckgiftmoney,https://play.google.com/store/apps/details?id=com.firstname333888.hanckgiftmoney
Kundali Bhagya Video Status,https://lh3.googleusercontent.com/-l43ghM62aRNlm3dSQRfpExeqCh6-cOZM7RGz0nxzlEOS_V-kz31UPbrK8XZAKuFOQ,5,,['ENTERTAINMENT'],4.9,"{5: 6, 4: 1, 3: 0, 2: 0, 1: 0}",7,"Kundali Bhagya Video Status has huge collection of tv serial video song status.
Kundali Bhagya Video Status Contains the indian tv serial video song ,title song ,romantic song etc.Kundali Bhagya Video Status for WhatsApp app has unique video status for set the whatsApp video status.
Kundali Bhagya Video Status Song App for social media platform .This App is the most coolest app which is trending in social media and other platforms.
This video status Specially for fan of Kundali Bhagya Video Status (Kundali Bhagya serial on tv)
Application Feature :
- Get updated Video Daily
- Easy to use Downloaded And Shared Video Offline.
- Get Updated The App Regular Interval.
- 100% Free And Sinple, Easy To Use.
Kundali Bhagya Video status
Sad video status
Disclaimer:
In this App all the Videos And Content Taken From Internet If you have any objection against video or else you can contact us we will remove your content from our app
thanks for help.
Emotional Video Status
Love Video status
Tv Serial video status
Kundali Bhagya Video status
Thanks For Using The App.","b'Kundali Bhagya Video Status has huge collection of tv serial video song status.<br/><br/><br/>Kundali Bhagya Video Status Contains the indian tv serial video song ,title song ,romantic song etc.Kundali Bhagya Video Status for WhatsApp app has unique video status for set the whatsApp video status. <br/><br/><br/>Kundali Bhagya Video Status Song App for social media platform .This App is the most coolest app which is trending in social media and other platforms. <br/><br/><br/>This video status Specially for fan of Kundali Bhagya Video Status (Kundali Bhagya serial on tv)<br/><br/><br/>Application Feature :<br/><br/>- Get updated Video Daily<br/>- Easy to use Downloaded And Shared Video Offline. <br/>- Get Updated The App Regular Interval. <br/>- 100% Free And Sinple, Easy To Use.<br/><br/><br/>Kundali Bhagya Video status<br/>Sad video status<br/> <br/><br/>Disclaimer:<br/>In this App all the Videos And Content Taken From Internet If you have any objection against video or else you can contact us we will remove your content from our app<br/>thanks for help.<br/><br/><br/><br/>Emotional Video Status<br/>Love Video status<br/>Tv Serial video status<br/>Kundali Bhagya Video status<br/>Thanks For Using The App.'",,False,0,True,False,Gunatit+Art,"September 7, 2018",3.6M,1000,2.0,4.1 and up,['Rated for 3+'],,['Users Interact'],Gunatit Art,hrishi.dobariya@gmail.com,https://gunatitart.blogspot.com/,,com.gunatitart.kundlibhagyaVideoStatus,https://play.google.com/store/apps/details?id=com.gunatitart.kundlibhagyaVideoStatus
Get Free Coin and Spin - Daily Link,https://lh3.googleusercontent.com/RgQDv9ean0cxr5h5M7scBoUAOUbGXwPvAK_CnSlO2nkWwlDE2pfTyo5KoyznyDeIyp7f,3,,['ENTERTAINMENT'],4.4,"{5: 10, 4: 3, 3: 1, 2: 0, 1: 1}",15,"Get Free Coin and Spin - Daily Link : You can get instant Free Coin And Free Spin Links.
This App is only display daily free spin and free coin link. just click on link provided in app and get spin and coin.
- free
- spin bonus
- daily spin link
- daily spin
- free spin bonus code 2018
- free spin bonus slots
- free spin coin
- get coins
- get coin free
- get coin app
- daily rewards
- coin
- spin
- free spin
- free spinner
- free spin and coin link
- free spin and coin
- free spin app
- link
- free coins app
- free coin generator
- free coin and spin link
- free a coin
- daily gift
- daily link
- daily bonus
- daily free spin
- extra spin link
- extra spins
- get a free coin
- join and get free spins
- win a free spin
- get a coin made
- get a coin
- get a free coin
- free spins link
- free spin
- all links
- auto spin
- spin benefits
DISCLAIMER:
Daily Get Free Coin And Spin app is not an official app. The content presented to you in the application is available free on public domains. We don't claim rights on any content in this application. All the content provided in this application is displayed using Facebook page link. All rights reserved to the content's respective owners.","b""Get Free Coin and Spin - Daily Link : You can get instant Free Coin And Free Spin Links.<br/><br/>This App is only display daily free spin and free coin link. just click on link provided in app and get spin and coin.<br/><br/>- free<br/>- spin bonus<br/>- daily spin link<br/>- daily spin<br/>- free spin bonus code 2018<br/>- free spin bonus slots<br/>- free spin coin<br/>- get coins<br/>- get coin free<br/>- get coin app<br/>- daily rewards<br/>- coin<br/>- spin<br/>- free spin<br/>- free spinner<br/>- free spin and coin link<br/>- free spin and coin<br/>- free spin app<br/>- link<br/>- free coins app<br/>- free coin generator<br/>- free coin and spin link<br/>- free a coin<br/>- daily gift<br/>- daily link<br/>- daily bonus<br/>- daily free spin<br/>- extra spin link<br/>- extra spins<br/>- get a free coin<br/>- join and get free spins<br/>- win a free spin<br/>- get a coin made<br/>- get a coin<br/>- get a free coin<br/>- free spins link<br/>- free spin<br/>- all links<br/>- auto spin<br/>- spin benefits<br/><br/><br/>DISCLAIMER: <br/><br/>Daily Get Free Coin And Spin app is not an official app. The content presented to you in the application is available free on public domains. We don't claim rights on any content in this application. All the content provided in this application is displayed using Facebook page link. All rights reserved to the content's respective owners.""",,False,0,True,False,FreshLime+Apps,"September 21, 2018",3.6M,1000,1.0,4.0.3 and up,['Rated for 3+'],,,FreshLime Apps,poshiya.sangita@gmail.com,http://webfixes.in/FirstApp/privacy_policy.html,,com.getfreespinandfreecoin,https://play.google.com/store/apps/details?id=com.getfreespinandfreecoin
Kaira Full Screen Video Status,https://lh3.googleusercontent.com/0pTQkbBCO99weL0CzUGc16F1QHrHdMm0L-DtoKjEhpvPkCC3AdADOjzM5sgzovmEjuo,5,,['ENTERTAINMENT'],4.4,"{5: 6, 4: 0, 3: 0, 2: 0, 1: 1}",7,"Naira full Screen Video Status has huge collection of tv serial video song status.
Naira full Screen Video Status Contains the indian tv serial video song ,title song ,romantic song etc. Kaira full Screen Video Status for WhatsApp app has unique full Screen Video Status for set the whatsApp full Screen Video Status.
This full Screen Video Status Specially for fan of Kaira full Screen Video Status (Kartik and Naira(Ye rista Kya kehlata hai serial on tv))
Kartik full Screen Video Status
naira full Screen Video Status
Naitik full Screen Video Status
Akshara full Screen Video Status
Naitik Akshara full Screen Video Status
Tv Serial full Screen Video Status
Ye Rista Kya Kehlata Hai Serial full Screen Video Status
Naira full Screen Video Status Feature :
- Get updated Video Daily
- Easy to use Downloaded And Shared Video Offline.
- Get Updated The App Regular Interval.
- 100% Free And Sinple, Easy To Use.
Disclaimer:
In this App all the Videos And Content Taken From Internet If you have any objection against video or else you can contact us we will remove your content from our app
thanks for help.
Thanks For Using The App.","b'Naira full Screen Video Status has huge collection of tv serial video song status. <br/><br/><br/>Naira full Screen Video Status Contains the indian tv serial video song ,title song ,romantic song etc. Kaira full Screen Video Status for WhatsApp app has unique full Screen Video Status for set the whatsApp full Screen Video Status. <br/><br/><br/>This full Screen Video Status Specially for fan of Kaira full Screen Video Status (Kartik and Naira(Ye rista Kya kehlata hai serial on tv))<br/><br/><br/>Kartik full Screen Video Status<br/>naira full Screen Video Status<br/>Naitik full Screen Video Status<br/>Akshara full Screen Video Status<br/>Naitik Akshara full Screen Video Status<br/>Tv Serial full Screen Video Status<br/>Ye Rista Kya Kehlata Hai Serial full Screen Video Status<br/><br/><br/>Naira full Screen Video Status Feature :<br/><br/><br/>- Get updated Video Daily<br/>- Easy to use Downloaded And Shared Video Offline. <br/>- Get Updated The App Regular Interval. <br/>- 100% Free And Sinple, Easy To Use.<br/><br/><br/>Disclaimer:<br/>In this App all the Videos And Content Taken From Internet If you have any objection against video or else you can contact us we will remove your content from our app<br/>thanks for help.<br/><br/><br/>Thanks For Using The App.'",,False,0,True,False,Gunatit+Art,"September 7, 2018",3.7M,1000,2.0,4.1 and up,['Rated for 3+'],,['Users Interact'],Gunatit Art,hrishi.dobariya@gmail.com,https://gunatitart.blogspot.com/,,com.gunatitart.nairafullscreenvideo,https://play.google.com/store/apps/details?id=com.gunatitart.nairafullscreenvideo
Kaira Video Status - Naira & Kartik Video Status,https://lh3.googleusercontent.com/XCZSGRegaSUzRpMx7qkK9ePYYofMbNv9H2yXLj8CWaWfgzA40okI7TrR27i1f7ET334,5,,['ENTERTAINMENT'],5.0,"{5: 3, 4: 0, 3: 0, 2: 0, 1: 0}",3,"Naira Video Status has huge collection of tv serial video song status.
Naira Video Status Contains the indian tv serial video song ,title song ,romantic song etc. Kaira Video Status for WhatsApp app has unique video status for set the whatsApp video status.
This video status Specially for fan of Kaira VIdeo Status (Kartik and Naira(Ye rista Kya kehlata hai serial on tv))
Kartik Video status
naira video status
Naitik Video Status
Akshara Video status
Naitik Akshara Video Status
Tv Serial video status
Ye Rista Kya Kehlata Hai Serial Video status
Naira Video Status Feature :
- Get updated Video Daily
- Easy to use Downloaded And Shared Video Offline.
- Get Updated The App Regular Interval.
- 100% Free And Sinple, Easy To Use.
Disclaimer:
In this App all the Videos And Content Taken From Internet If you have any objection against video or else you can contact us we will remove your content from our app
thanks for help.","b'Naira Video Status has huge collection of tv serial video song status.<br/><br/><br/>Naira Video Status Contains the indian tv serial video song ,title song ,romantic song etc. Kaira Video Status for WhatsApp app has unique video status for set the whatsApp video status. <br/><br/><br/>This video status Specially for fan of Kaira VIdeo Status (Kartik and Naira(Ye rista Kya kehlata hai serial on tv))<br/><br/><br/>Kartik Video status<br/>naira video status<br/>Naitik Video Status<br/>Akshara Video status<br/>Naitik Akshara Video Status<br/>Tv Serial video status<br/>Ye Rista Kya Kehlata Hai Serial Video status<br/><br/><br/>Naira Video Status Feature :<br/><br/><br/>- Get updated Video Daily<br/>- Easy to use Downloaded And Shared Video Offline. <br/>- Get Updated The App Regular Interval. <br/>- 100% Free And Sinple, Easy To Use.<br/><br/><br/>Disclaimer:<br/>In this App all the Videos And Content Taken From Internet If you have any objection against video or else you can contact us we will remove your content from our app<br/>thanks for help.'",,False,0,True,False,Gunatit+Art,"September 7, 2018",3.7M,1000,2.0,4.1 and up,['Rated for 3+'],,['Users Interact'],Gunatit Art,hrishi.dobariya@gmail.com,https://gunatitart.blogspot.com/,,com.gunatitart.nairavideostatus,https://play.google.com/store/apps/details?id=com.gunatitart.nairavideostatus
