name,datePublished,numDownloadsMin,fileSize,packageName,price,aggregateRating,softwareVersion,ratingCount,dateCrawled,url
FSP Power App,2. Oktober 2013,500,12M,com.fspapp,0,3.96774196624756,1.0.6,31,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.fspapp
FSP Autofahrer-App,5. April 2012,500,"1,3M",de.edvserviceputbus.FSP,0,3.81818175315857,1.0.4,11,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=de.edvserviceputbus.FSP
Art-picnic FSP,25. Juli 2014,500,"2,7M",by.orangesoft.fsp,0,4.72222232818604,1.5,18,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=by.orangesoft.fsp
Tennis F.S.P,19. Juli 2013,1,"4,5M",com.createyourapps.tennisfsp,0,0,1.1,0,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.createyourapps.tennisfsp
Super Piano FREE HD,19. Januar 2014,100000,"4,1M",idteam.app.crazypianofree,0,3.98252415657043,5.9,1545,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=idteam.app.crazypianofree
DMC-FZ1000 Tutorial,31. Juli 2014,100,"8,2M",camera.dmcfz1000,0,1,1,2,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=camera.dmcfz1000
Beach Buggy Racing,25. September 2014,1000000,75M,com.vectorunit.purple.googleplay,0,4.24581623077393,1.0.4,72359,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.vectorunit.purple.googleplay
LEGO® Juniors Create &amp; Cruise,6. Februar 2014,10000000,37M,com.lego.bricksmore,0,3.89322304725647,2.0.2,134796,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.lego.bricksmore
ABC School,10. April 2014,1000,391k,com.rik194.abcschool,0,4.10526323318481,1,19,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.rik194.abcschool
What’s New In Logic Pro X,18. Juli 2013,5000,106M,com.nonlineareducating.logicpro100,0,4.40740728378296,1,54,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.nonlineareducating.logicpro100
Music Hero Rock,9. Juli 2014,100000,34M,com.geegee.guitarrock,0,3.63243889808655,1.0.3,4957,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.geegee.guitarrock
Deutsch News Alerts,31. Juli 2014,100,"1,7M",com.extremeenjoy.deutschnews,0,5,7.5.0,5,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.extremeenjoy.deutschnews
Classic Tri Peaks HD,6. Mai 2013,100,263k,net.runserver.tripeaks,0.77,4.47826099395752,0.20.14,23,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=net.runserver.tripeaks
Clean Electric Guitar Plugin,26. Dezember 2013,1000000,"1,4M",com.perfectpiano.keyboards.eleguitar,0,3.48022532463074,1.2,20053,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.perfectpiano.keyboards.eleguitar
Andhraprabha,2. August 2014,5,"2,3M",com.extremeenjoy.news.andhraprabha,0,0,7.5.0,0,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.extremeenjoy.news.andhraprabha
Kannada Cinema News,31. Juli 2014,100,"2,0M",com.extremeenjoy.news.kannadacinema,0,4.75,7.5.0,4,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.extremeenjoy.news.kannadacinema
Hausnotruf,11. Juli 2013,10,37k,alert.buttonde,9.9,0,1.2,0,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=alert.buttonde
Anweshanam (Malayalam),4. August 2014,10,"1,7M",com.extremeenjoy.news.anweshanam,0,5,7.5.1,2,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.extremeenjoy.news.anweshanam
Java News,13. September 2014,1,"1,7M",com.extremeenjoy.news.java,0,5,7.5.0,1,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.extremeenjoy.news.java
Battery Floater,26. Juni 2013,0,"4,1M",com.vivek.batteryfloater,1.26,0,1,0,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.vivek.batteryfloater
7 Days Survival: Forest,27. September 2014,500,60M,com.SoftGamesInc.DaysSurvivalForest,0.63,3.5,1.7,32,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.SoftGamesInc.DaysSurvivalForest
4 Spieler Reaktor,27. Juni 2014,50000,"1,7M",coolcherrytrees.games.reactor4,1.99,4.72814655303955,1.99,3332,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=coolcherrytrees.games.reactor4
Gangstar Rio: City of Saints,15. Januar 2014,100000,,com.gameloft.android.ANMP.GloftG4HM,5.99,3.94654417037964,,36011,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftG4HM
Modern Combat 3: Fallen Nation,13. Januar 2014,100000,"1,3G",com.gameloft.android.ANMP.GloftM3HM,4.49,3.37000513076782,1.1.3,31633,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftM3HM
Deus Ex: The Fall,12. Mai 2014,50000,,com.squareenix.dxm,5.99,3.92597579956055,,13374,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.squareenix.dxm
Real Steel,25. September 2014,100000,22M,com.jumpgames.RealSteel,2.29,3.99847602844238,1.6.3,4593,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.jumpgames.RealSteel
Fuhrer in LA,5. August 2014,1000,117M,com.AnkaarProductions.FuhrerinLA,0.99,3.93665146827698,1.0.46,221,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.AnkaarProductions.FuhrerinLA
Mixels Mission,26. August 2014,10000,,com.turner.mixels,3.04,4.05598115921021,,3001,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.turner.mixels
Entwined™ Challenge,2. Oktober 2014,100,267M,com.scea.entwined,0.77,4.02857160568237,1.2,70,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.scea.entwined
Clear Theme 4 GO Launcher EX,2. Januar 2014,1000,"7,0M",com.wed.go.launcherex.theme.clear,1.42,4.68115949630737,2.1,69,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.wed.go.launcherex.theme.clear
Fenerbahçe Mar?lar?,25. April 2013,100000,374k,aps.spordroidfree.fbmarslari,0,4.28994846343994,1.2,776,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=aps.spordroidfree.fbmarslari
Fruit Link Go 3,28. April 2014,5000,"5,4M",com.cronlygames.fruitslink3,0,4.10454559326172,1.0.0,220,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.cronlygames.fruitslink3
Aquarium Live Wallpaper,1. Oktober 2014,5000,567k,com.widthparenttrue.fish,0,3.4745762348175,1,59,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.widthparenttrue.fish
Golf Score Buddy,,100,"2,3M",com.panda4man.golfscorecard,0,5,1.3,2,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.panda4man.golfscorecard
Team Amber,22. Juli 2013,500,"7,3M",com.conduit.app_49fb326fbd4d4ca68f567ba71d590a99.app,0,4.78947353363037,1.226.308.,19,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.conduit.app_49fb326fbd4d4ca68f567ba71d590a99.app
Face Changer Video,14. September 2014,1000000,,com.scoompa.talkingfriends,0,4.16394996643066,,41775,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.scoompa.talkingfriends
Alle Zeitungen der Türkei,16. September 2014,1000000,"2,2M",com.mobikolik.tumgazeteler,0,3.91843891143799,4.6,8558,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.mobikolik.tumgazeteler
Epic Sax Guy,14. Januar 2013,100000,"1,2M",ca.spencerelliott.saxguy,0,4.26619529724121,2.2,849,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=ca.spencerelliott.saxguy
Gravity Guy FREE,25. Oktober 2013,5000000,18M,com.miniclip.gravityguy,0,4.11922359466553,1.6.3,119959,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.miniclip.gravityguy
Mad Gravity Guy,2. Juni 2014,1000,13M,com.gameplaystudio.mad_gravity_guy,0,3.55384612083435,1,65,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.gameplaystudio.mad_gravity_guy
Winx Club: Winx Sirenix Power,9. September 2014,1000000,49M,com.tsumanga.winx,0,3.98436975479126,1.5.4,44593,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.tsumanga.winx
Mechanic Mike - First Tune Up,3. April 2014,500000,33M,com.tabtale.mechanic,0,3.66861081123352,1.0.1,15088,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.tabtale.mechanic
